,accuracy,f1,roc_auc
LogisticRegression,0.7984386089425124,0.5965909090909091,0.8420289855072464
DecisionTree,0.7260468417317246,0.4921052631578947,0.6533816425120773
RandomForest,0.7863733144073811,0.5514157973174366,0.8273605621431709
XGBoost,0.7835344215755855,0.5413533834586466,0.8296042264072955
KNN,0.7714691270404542,0.513595166163142,0.7599950915807694
SVM,0.7345635202271115,0.0,0.7946859903381642
GaussianNB,0.730305180979418,0.5991561181434599,0.8147226743134671
ExtraTrees,0.7686302342086586,0.5177514792899408,0.8007039706528197
AdaBoost,0.7955997161107168,0.5764705882352941,0.8423583662714098
GradientBoosting,0.8026969481902059,0.5762195121951219,0.8429176677258519
